time,8#炉烟囱出口烟气NH3实测值,8#炉烟囱出口烟气氧量实测值,8#炉烟囱出口烟气NOx折算值,8#炉沼气流量,8#炉省煤器出口左侧烟气氧量,8#炉省煤器出口右侧烟气氧量,8#炉SNCR氨水管路流量,8#炉一次风机入口风温,8#炉二次风机出口风温,8#炉烟气再循环风机出口风温,8#炉锅炉出口NOx折算值,8#炉炉膛上部左侧温度T10,8#炉炉膛上部中侧温度T11,8#炉炉膛上部右侧温度T12,8#炉炉膛中部左侧温度T20,8#炉炉膛中部中侧温度T21,8#炉炉膛中部右侧温度T22,8#炉炉膛下部左侧温度T30,8#炉炉膛下部中侧温度T31,8#炉炉膛下部右侧温度T32,8#炉干燥炉排左入口风门开度,8#炉燃烧炉排一段左入口风门开度,8#炉燃烧炉排二段左入口风门开度,8#炉炉排左侧一次风总风压,8#炉燃烧炉排三段左入口风门开度,8#炉燃烧炉排三段中入口风门开度,8#炉燃尽炉排一段左入口风门开度,8#炉燃尽炉排二段左入口风门开度,8#炉燃尽炉排一段中入口风门开度,8#炉燃尽炉排二段中入口风门开度,8#炉炉排下部垃圾料层厚度左,8#炉炉排中间垃圾料层厚度左,8#炉炉排上部垃圾料层厚度左,8#炉干燥炉排右入口风门开度,8#炉燃烧炉排一段右入口风门开度,8#炉燃烧炉排二段右入口风门开度,8#炉炉排右侧一次风总风压,8#炉燃烧炉排三段右入口风门开度,8#炉炉排下部垃圾料层厚度右,8#炉炉排中间垃圾料层厚度右,8#炉炉排上部垃圾料层厚度右,8#炉燃尽炉排一段右入口风门开度,8#炉燃尽炉排二段右入口风门开度,8#炉干燥炉排中入口风门开度,8#炉燃烧炉排一段中入口风门开度,8#炉燃烧炉排二段中入口风门开度,8#炉干燥炉排上部左侧烟温,8#炉干燥炉排上部右侧烟温,8#炉推料器1位置,8#炉推料器2位置,8#炉推料器3位置,8#炉推料器3速度,8#炉推料器1速度,8#炉推料器2速度,8#炉干燥炉排_SV,8#炉燃烧炉排_SV,8#炉燃尽炉排_SV
2025-08-13 09:08:51,,,,,4.336266040802002,4.192578315734863,0.26620370149612427,,,,235.96237182617188,1104.9910888671875,1039.7821044921875,1027.296875,1167.2012939453125,1034.892333984375,1075.4056396484375,1205.3035888671875,984.6322021484375,1076.290771484375,76.80786895751953,100.61804962158203,100.06944274902344,0.28078702092170715,70.28240203857422,70.7615737915039,30.689815521240234,20.057870864868164,40.29861068725586,20.287036895751953,278.6111145019531,231.75926208496094,222.9629669189453,76.8125,60.49305725097656,70.82870483398438,0.3791666626930237,55.50694274902344,280.3703918457031,228.75,223.61111450195312,30.282407760620117,19.72222137451172,75.34722137451172,100.1087875366211,100.35879516601562,1049.909423828125,791.2726440429688,229.8148193359375,228.40740966796875,226.77777099609375,3.828315496444702,3.531949520111084,3.616870880126953,50.0,80.0,119.828369140625
2025-08-13 09:08:52,0.7629672884941101,6.298956871032715,67.56258392333984,260.97222900390625,4.324655055999756,4.1988677978515625,0.3009259104728699,36.153709411621094,44.55180740356445,126.53992462158203,236.11947631835938,1104.9910888671875,1039.6849365234375,1027.3939208984375,1167.2012939453125,1034.95703125,1075.4056396484375,1205.3035888671875,984.6322021484375,1076.290771484375,76.80786895751953,100.61111450195312,100.06944274902344,0.28865742683410645,70.28240203857422,70.7615737915039,30.682870864868164,20.057870864868164,40.29861068725586,20.287036895751953,274.9537048339844,227.5,217.9629669189453,76.80555725097656,60.49305725097656,70.82870483398438,0.3870370388031006,55.50694274902344,276.89813232421875,223.88888549804688,218.75,30.282407760620117,19.72222137451172,75.34722137451172,100.1087875366211,100.35879516601562,1049.909423828125,790.9970703125,230.8148193359375,229.42593383789062,227.79629516601562,3.7723939418792725,3.5296456813812256,3.614130735397339,50.0,80.0,119.97648620605469
2025-08-13 09:08:53,0.7629672884941101,6.297750473022461,67.52984619140625,261.620361328125,4.326106071472168,4.19451379776001,0.3125,36.153709411621094,44.55180740356445,126.53992462158203,236.3416290283203,1104.9910888671875,1039.6849365234375,1027.49072265625,1167.0997314453125,1034.95703125,1075.4056396484375,1205.3035888671875,984.7277221679688,1076.093994140625,76.80786895751953,100.61804962158203,100.06944274902344,0.29027777910232544,70.28240203857422,70.7615737915039,30.682870864868164,20.060184478759766,40.29861068725586,20.287036895751953,278.70367431640625,230.6018524169922,220.4166717529297,76.80555725097656,60.49305725097656,70.82870483398438,0.3863425850868225,55.51388931274414,280.09259033203125,226.94444274902344,221.9444580078125,30.282407760620117,19.729167938232422,75.34722137451172,100.1087875366211,100.35879516601562,1050.0069580078125,790.9050903320312,232.0,230.629638671875,229.03704833984375,3.680267810821533,3.5316102504730225,3.618053913116455,50.0,80.0,119.72704315185547
2025-08-13 09:08:54,0.7629672884941101,6.297750473022461,67.52984619140625,260.97222900390625,4.324655055999756,4.165002346038818,0.18518517911434174,36.153709411621094,44.55180740356445,126.53992462158203,236.92575073242188,1104.9910888671875,1039.587646484375,1027.49072265625,1167.0997314453125,1034.892333984375,1075.4056396484375,1205.40673828125,984.8233642578125,1076.093994140625,76.8009262084961,100.61111450195312,100.06944274902344,0.3064814805984497,70.28240203857422,70.7615737915039,30.682870864868164,20.060184478759766,40.29861068725586,20.287036895751953,264.3518371582031,215.32408142089844,205.2314910888672,76.80555725097656,60.5,70.83101654052734,0.40416663885116577,55.51388931274414,267.6851806640625,212.63888549804688,208.7036895751953,30.282407760620117,19.72222137451172,75.35416412353516,100.1087875366211,100.35879516601562,1050.2996826171875,790.7213745117188,232.9629669189453,231.59259033203125,230.11111450195312,3.7000045776367188,3.5306265354156494,3.5827395915985107,50.0,80.0,119.41478729248047
2025-08-13 09:08:55,0.7629672884941101,6.257955074310303,67.52984619140625,260.6481628417969,4.324655055999756,4.163550853729248,0.4513888955116272,36.153709411621094,44.55180740356445,126.53992462158203,237.2601776123047,1105.0904541015625,1039.587646484375,1027.49072265625,1167.0997314453125,1034.892333984375,1075.6021728515625,1205.475341796875,984.8233642578125,1076.290771484375,76.80786895751953,100.61111450195312,100.06944274902344,0.3134259283542633,70.28009033203125,70.7615737915039,30.689815521240234,20.060184478759766,40.29861068725586,20.287036895751953,255.1851806640625,205.6481475830078,196.4351806640625,76.80555725097656,60.5,70.82870483398438,0.4106481373310089,55.51388931274414,259.0740661621094,203.1018524169922,198.42591857910156,30.289352416992188,19.729167938232422,75.34722137451172,100.1087875366211,100.35879516601562,1050.3970947265625,790.6295166015625,234.12962341308594,232.8148193359375,231.42593383789062,3.7452313899993896,3.530419111251831,3.592085838317871,50.0,80.0,118.95462799072266
2025-08-13 09:08:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.66665649414062,233.3333282470703,231.79629516601562,3.732761859893799,3.5525877475738525,3.591196060180664,50.0,80.0,118.75452423095703
2025-08-13 09:08:57,0.7629672884941101,6.257955074310303,67.24933624267578,261.1111145019531,4.324655055999756,4.163550853729248,0.347222238779068,36.153709411621094,44.55180740356445,126.53992462158203,237.87765502929688,1105.0904541015625,1039.393310546875,1027.3939208984375,1167.0997314453125,1034.6982421875,1075.6021728515625,1205.40673828125,984.8233642578125,1076.290771484375,76.80786895751953,100.61111450195312,100.06944274902344,0.31134259700775146,70.28240203857422,70.7615737915039,30.689815521240234,20.060184478759766,40.29861068725586,20.287036895751953,253.14813232421875,202.82406616210938,194.44444274902344,76.80555725097656,60.5,70.83101654052734,0.4099537134170532,55.50694274902344,255.32406616210938,200.6481475830078,195.23147583007812,30.289352416992188,19.72222137451172,75.34722137451172,100.1087875366211,100.35879516601562,1050.49462890625,790.6295166015625,235.85186767578125,234.48147583007812,233.18519592285156,3.8204126358032227,3.5816540718078613,3.5705723762512207,50.0,80.0,118.28294372558594
2025-08-13 09:08:58,0.7298457622528076,6.269673824310303,65.64289093017578,260.5092468261719,4.322719573974609,4.163550853729248,0.3009259104728699,36.153709411621094,44.55180740356445,126.53992462158203,238.8317413330078,1105.1898193359375,1039.393310546875,1027.3939208984375,1167.0997314453125,1034.60107421875,1075.6021728515625,1205.475341796875,984.7277221679688,1076.38916015625,76.80786895751953,100.61111450195312,100.06944274902344,0.3157407343387604,70.28240203857422,70.7615737915039,30.682870864868164,20.060184478759766,40.29861068725586,20.287036895751953,255.8333282470703,204.3518524169922,195.32408142089844,76.80555725097656,60.49305725097656,70.83795928955078,0.41203704476356506,55.50694274902344,256.2037048339844,201.29629516601562,197.5463104248047,30.289352416992188,19.729167938232422,75.34722137451172,100.1087875366211,100.3657455444336,1050.7872314453125,790.6295166015625,236.94444274902344,235.57408142089844,234.29629516601562,3.7905256748199463,3.5658576488494873,3.5775809288024902,50.0,80.0,117.9737548828125
2025-08-13 09:08:59,0.7298457622528076,6.269673824310303,65.70301055908203,260.5092468261719,4.324655055999756,4.165002346038818,0.3009259104728699,36.153709411621094,44.55180740356445,126.53992462158203,239.3594512939453,1104.9910888671875,1039.587646484375,1027.49072265625,1167.0997314453125,1034.60107421875,1075.6021728515625,1205.57861328125,984.7277221679688,1076.487548828125,76.80786895751953,100.61111450195312,100.06944274902344,0.309027761220932,70.28240203857422,70.7615737915039,30.689815521240234,20.060184478759766,40.29861068725586,20.287036895751953,259.49072265625,208.19444274902344,198.5185089111328,76.80555725097656,60.49305725097656,70.82870483398438,0.4053240716457367,55.51388931274414,259.90740966796875,204.76852416992188,201.25,30.282407760620117,19.729167938232422,75.35416412353516,100.1087875366211,100.36805725097656,1050.8848876953125,790.7213745117188,237.90740966796875,236.62962341308594,235.3148193359375,3.7565417289733887,3.564204454421997,3.6067023277282715,50.0,80.0,118.3410415649414
2025-08-13 09:09:00,0.7298457622528076,6.255528926849365,65.70301055908203,260.0,4.324655055999756,4.143714904785156,0.37037035822868347,36.153709411621094,44.55180740356445,126.53992462158203,240.0796356201172,1104.9910888671875,1039.393310546875,1027.49072265625,1167.0997314453125,1034.60107421875,1075.7005615234375,1205.57861328125,984.7277221679688,1076.487548828125,76.80786895751953,100.61111450195312,100.06944274902344,0.303935170173645,70.28935241699219,70.7615737915039,30.689815521240234,20.060184478759766,40.29861068725586,20.287036895751953,267.5,216.4351806640625,206.5277862548828,76.8125,60.49305725097656,70.83795928955078,0.40416663885116577,55.50694274902344,267.8240966796875,213.19444274902344,209.67591857910156,30.282407760620117,19.729167938232422,75.35416412353516,100.10185241699219,100.35879516601562,1051.080078125,790.9050903320312,239.0370330810547,237.72222900390625,236.44444274902344,3.7106270790100098,3.561627149581909,3.6360607147216797,50.0,80.0,118.61299896240234
